npz_path,label,video_path,frames_T,fps_orig,stride,detect_rate,mean_visibility,vis_p50,vis_p90,nan_rate_xyz,wall_s,eff_fps,mem_mb_delta
../output/mediapipe_pose_npz/deadlift__0925f4eb-58fa-4e45-a6e7-e03265f0372d.npz,deadlift,../data/deadlift/0925f4eb-58fa-4e45-a6e7-e03265f0372d.mp4,121,23.976023976023978,2,1.0,0.9413756132125854,0.9439899325370789,0.9476550221443176,0.0,8.180779999995138,14.790765672719704,
../output/mediapipe_pose_npz/deadlift__096dc686-5b40-4e09-998d-ea556004b722.npz,deadlift,../data/deadlift/096dc686-5b40-4e09-998d-ea556004b722.mp4,125,25.0,2,0.984,0.7258669137954712,0.7344056367874146,0.8132319450378418,0.016,8.311238249996677,15.039876879964304,
../output/mediapipe_pose_npz/deadlift__1ac971de-e625-4c80-9248-fed992df8105.npz,deadlift,../data/deadlift/1ac971de-e625-4c80-9248-fed992df8105.mp4,120,23.976023976023978,2,1.0,0.9439952373504639,0.9463750123977661,0.951285183429718,0.0,8.237734958005603,14.567111058044116,
../output/mediapipe_pose_npz/deadlift__27cf6847-84de-4e59-bafa-f1b22d449ad5.npz,deadlift,../data/deadlift/27cf6847-84de-4e59-bafa-f1b22d449ad5.mp4,120,23.976023976023978,2,0.9833333333333333,0.9208917021751404,0.9327929019927979,0.9805374145507812,0.016666666666666666,8.022039665956981,14.958789160472783,
../output/mediapipe_pose_npz/deadlift__27d43f0b-0e8f-45e6-80e5-e65a2b1c7b50.npz,deadlift,../data/deadlift/27d43f0b-0e8f-45e6-80e5-e65a2b1c7b50.mp4,150,60.0,4,1.0,0.7021870017051697,0.7014724016189575,0.759549617767334,0.0,10.588813124981243,14.165893592561225,
../output/mediapipe_pose_npz/deadlift__2b599cbd-a4f7-45b6-bda9-0316270f9c04.npz,deadlift,../data/deadlift/2b599cbd-a4f7-45b6-bda9-0316270f9c04.mp4,150,30.0,2,1.0,0.8975163698196411,0.92015540599823,0.9460062384605408,0.0,10.035040291957557,14.947623092277507,
../output/mediapipe_pose_npz/deadlift__2e22d77e-94ce-47f6-912d-a28f1c4f70cf.npz,deadlift,../data/deadlift/2e22d77e-94ce-47f6-912d-a28f1c4f70cf.mp4,120,60.0,4,1.0,0.8705216646194458,0.8818036317825317,0.9541676044464111,0.0,9.824683000042569,12.214134542506873,
../output/mediapipe_pose_npz/deadlift__3a2e4a07-4587-4474-9eb0-434a701de631.npz,deadlift,../data/deadlift/3a2e4a07-4587-4474-9eb0-434a701de631.mp4,199,19.75,1,0.9949748743718593,0.9040071368217468,0.9320902824401855,0.9894049763679504,0.005025125628140704,13.889518457988743,14.327350555882122,
../output/mediapipe_pose_npz/deadlift__3fe08ad6-0a66-494c-8479-d70239564ff4.npz,deadlift,../data/deadlift/3fe08ad6-0a66-494c-8479-d70239564ff4.mp4,121,24.0,2,1.0,0.8883200287818909,0.9645874500274658,0.9917165637016296,0.0,8.072643749997951,14.98889381809159,
../output/mediapipe_pose_npz/deadlift__516273ac-d834-4336-b735-0f3009eef3cc.npz,deadlift,../data/deadlift/516273ac-d834-4336-b735-0f3009eef3cc.mp4,121,23.976023976023978,2,1.0,0.6443633437156677,0.6185661554336548,0.7438915371894836,0.0,8.989655832992867,13.459914622751056,
../output/mediapipe_pose_npz/deadlift__57a9987d-47f1-431d-8e5f-af96be5696b4.npz,deadlift,../data/deadlift/57a9987d-47f1-431d-8e5f-af96be5696b4.mp4,121,23.976023976023978,2,1.0,0.873828649520874,0.9135439395904541,0.9624852538108826,0.0,8.918523624946829,13.567267979370452,
../output/mediapipe_pose_npz/deadlift__5a6e34c5-9c3c-4dcf-8d6d-72108248a99d.npz,deadlift,../data/deadlift/5a6e34c5-9c3c-4dcf-8d6d-72108248a99d.mp4,125,25.0,2,1.0,0.8329337239265442,0.8642138242721558,0.9082571268081665,0.0,8.420531334006228,14.844668945674343,
../output/mediapipe_pose_npz/deadlift__5d221d49-d691-4581-a76e-d139e80df0d9.npz,deadlift,../data/deadlift/5d221d49-d691-4581-a76e-d139e80df0d9.mp4,120,23.976023976023978,2,0.9833333333333333,0.6564675569534302,0.5583784580230713,0.937791645526886,0.016666666666666666,8.073402707988862,14.863621243773283,
../output/mediapipe_pose_npz/deadlift__5f16d9eb-3d0a-4f1d-97d7-0e9b05393829.npz,deadlift,../data/deadlift/5f16d9eb-3d0a-4f1d-97d7-0e9b05393829.mp4,150,29.97002997002997,2,1.0,0.8891414403915405,0.8943617939949036,0.9211504459381104,0.0,10.004933874995913,14.9926028371738,
../output/mediapipe_pose_npz/deadlift__5f520743-d93f-4b0f-9ed0-d7eab1a7f739.npz,deadlift,../data/deadlift/5f520743-d93f-4b0f-9ed0-d7eab1a7f739.mp4,125,25.0,2,1.0,0.8601754903793335,0.8637605309486389,0.9021092057228088,0.0,8.327724999981001,15.010101798544643,
../output/mediapipe_pose_npz/deadlift__625d3ad8-6ac0-42a9-acb0-dc84fd260424.npz,deadlift,../data/deadlift/625d3ad8-6ac0-42a9-acb0-dc84fd260424.mp4,120,30.0,2,1.0,0.9071273803710938,0.9074587821960449,0.9569700956344604,0.0,8.134306750027463,14.752332766353428,
../output/mediapipe_pose_npz/deadlift__6462b813-527f-407d-b636-93dd10a8b948.npz,deadlift,../data/deadlift/6462b813-527f-407d-b636-93dd10a8b948.mp4,120,23.976023976023978,2,0.9416666666666667,0.8649206757545471,0.9337466955184937,0.9796711802482605,0.058333333333333334,7.781063041999005,15.422057288610688,
../output/mediapipe_pose_npz/deadlift__6c0028f5-d3b1-4075-a2d5-d176b3e7dafb.npz,deadlift,../data/deadlift/6c0028f5-d3b1-4075-a2d5-d176b3e7dafb.mp4,120,23.976023976023978,2,0.9666666666666667,0.5384067893028259,0.5535435676574707,0.5893970727920532,0.03333333333333333,8.624562499986496,13.913749248172055,
../output/mediapipe_pose_npz/deadlift__79dee13d-13ab-460e-997b-7283ef9c242b.npz,deadlift,../data/deadlift/79dee13d-13ab-460e-997b-7283ef9c242b.mp4,150,30.0,2,1.0,0.9373340606689453,0.9427125453948975,0.9670376181602478,0.0,10.147965084004682,14.781288539948902,
../output/mediapipe_pose_npz/deadlift__7c55df16-fa5d-4080-bdd5-310a66d72a2d.npz,deadlift,../data/deadlift/7c55df16-fa5d-4080-bdd5-310a66d72a2d.mp4,72,23.976023976023978,2,1.0,0.5579733848571777,0.5583626627922058,0.5890840888023376,0.0,5.335755542037077,13.49387156753286,
../output/mediapipe_pose_npz/deadlift__7e8d0739-80f9-4748-ae0c-735be24e46b1.npz,deadlift,../data/deadlift/7e8d0739-80f9-4748-ae0c-735be24e46b1.mp4,120,23.976023976023978,2,1.0,0.9713095426559448,0.9759855270385742,0.9862896800041199,0.0,8.1050314999884,14.805617967082762,
../output/mediapipe_pose_npz/deadlift__7f1654d5-8fee-4c31-b67c-c25aeb95cdd5.npz,deadlift,../data/deadlift/7f1654d5-8fee-4c31-b67c-c25aeb95cdd5.mp4,125,25.0,2,0.968,0.7466285824775696,0.7482004165649414,0.9262890815734863,0.032,8.368028375029098,14.937807856031002,
