torso_inclination,knee_angle_l,knee_angle_r,hip_angle_l,hip_angle_r,elbow_angle_l,elbow_angle_r,label,file
1.9208726012083501,178.46960225883208,176.33696901422928,175.62360638364922,173.36696839943815,179.82598869196613,179.78549473117008,deadlift,deadlift_1000001.jpg
2.270194727044256,164.78001701981546,165.35252468268385,144.4470328263941,151.2416117311399,175.25621679465468,179.19400219875106,deadlift,deadlift_100001.jpg
1.4582948271029539,179.68990535864498,175.60293774605412,171.1583528031361,179.64524297631294,179.25383642065472,178.9062689611468,deadlift,deadlift_1000011.jpg
1.6360791752744632,179.54861371884687,175.33296814016785,171.09442683433056,179.87016118925817,179.70889156098346,178.95036444504132,deadlift,deadlift_1000021.jpg
1.491795184654271,179.68438786137608,176.59277006053898,170.9846196324607,178.71751485868836,178.93297700401445,179.25741960326283,deadlift,deadlift_1000031.jpg
0.41834739727647346,179.88739568523752,178.85328185623206,172.18200043668307,176.54538304986676,179.8416268114385,179.3762594331088,deadlift,deadlift_1000041.jpg
4.154847237021444,179.16343748328643,175.90382883618412,177.61230593952618,167.0584189204488,177.6425979462118,178.15457973609568,deadlift,deadlift_1000051.jpg
9.404650849285266,172.60454254225436,172.6025799785875,176.0149508716264,155.8089082739278,175.23627852073852,178.6917816151691,deadlift,deadlift_1000061.jpg
11.252115266736919,174.41234642654288,164.9516356496338,176.08236349729097,147.77136944869852,179.01458321449786,178.52769434927998,deadlift,deadlift_1000071.jpg
11.739657316886674,175.70880834438444,161.76522770530562,173.09752015165063,141.93753682517638,177.3063159978793,178.13212765036434,deadlift,deadlift_1000081.jpg
11.462906028781273,175.51748996203253,162.72770091239667,173.9689294296282,143.00819498578383,176.9808104421465,179.51816120455365,deadlift,deadlift_1000091.jpg
10.512389038001867,178.35775999108634,162.2603219550371,176.58195694878643,143.41692276726644,177.12004998500396,179.49196384459847,deadlift,deadlift_1000101.jpg
2.4112432386448184,159.86882474892488,166.13459628164364,142.08599099347907,152.01369750661382,173.40068610731095,176.95942259564015,deadlift,deadlift_100011.jpg
11.558421856290297,176.32476632710456,167.4026180263126,178.96449374192886,148.52717961976347,178.10225035131498,177.48655936696426,deadlift,deadlift_1000111.jpg
7.509493048917392,179.80579477354516,178.4639992404131,179.73573257456934,161.9462946810642,177.1182216586258,178.78387423309624,deadlift,deadlift_1000121.jpg
1.5920769366574183,179.02090977613034,175.6713616411724,175.78336282814058,174.7741749512367,179.75137894024198,178.95772871562374,deadlift,deadlift_1000131.jpg
1.43781566669306,179.0146020806897,175.68311109003972,172.3964082561797,179.4355599836217,177.76691672005893,179.38079458978672,deadlift,deadlift_1000141.jpg
0.3397451378385677,168.02939340831875,168.6098562591731,153.62707682870627,155.5663782657684,173.34501093050966,174.62130037104504,deadlift,deadlift_100021.jpg
0.8182433755855385,175.13955969543082,170.75219047401887,167.22138351377114,162.1756576478338,176.194006604388,177.57575746849227,deadlift,deadlift_100031.jpg
0.5923730542918486,179.23718281924081,178.78327318617602,173.30974110555704,169.7647405886239,177.8601474533897,177.96166237007264,deadlift,deadlift_100041.jpg
0.287279361070821,177.44203103820777,177.43032839017252,174.2380795306478,173.84287715641466,177.52385965411295,179.30124304773213,deadlift,deadlift_100051.jpg
0.3845281464259747,177.5172220913618,176.13324167197933,174.306008420828,174.31427247445,177.98404894682622,178.67963508756998,deadlift,deadlift_100061.jpg
